id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42799355,City Townhouse on Eglington - Free WIFI,80111626,Natalie And Brad,,Launceston,-41.4459657,147.1488295,Entire home/apt,206,2,86,2024-03-02,8.75,5,23,86,DA0034/2020
795205312636694857,Waterfront Haven Apartment,105864591,Annie,,Kingborough,-42.99372,147.32879,Entire home/apt,164,2,35,2024-03-01,3.24,3,331,35,Exempt: This listing falls under the 'home sharing' exemption
26202561,Maison del Mar - Garden Apartment,196944781,Ted,,Hobart,-42.9087,147.34685,Entire home/apt,283,1,68,2024-01-23,0.98,2,27,6,PLN-15-00351-01
670418349555414953,A Sweet Escape,130839986,James,,Dorset,-41.00821,147.395,Entire home/apt,612,1,5,2024-01-14,0.29,18,342,3,PLA2019/146
51752986,Historic Getaway,58295888,Benjamin,,Launceston,-41.4438584,147.1434402,Entire home/apt,264,2,30,2024-02-09,2.19,2,0,21,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
8255136,"Quaint, Quirky, Cosy Cottage.",29758147,Maggie,,Launceston,-41.44988,147.12444,Entire home/apt,130,4,114,2023-12-13,1.25,1,8,16,Exempt: This listing falls under the 'home sharing' exemption
710509406600234679,Kitchen Suite,27146791,Greg,,Central Highlands,-42.37822,147.00028,Private room,235,1,1,2024-01-02,0.43,9,291,1,"Exempt: This listing is a hotel, motel, or caravan park"
19389081,4 BEDROOM & 4 BATHROOM TOP FLOOR APARTMENT,1275069,Yiannis,,Hobart,-42.88754,147.32699,Entire home/apt,367,1,551,2024-02-29,6.79,3,83,62,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
32223401,one14,110582664,John And Lyndall,,Devonport,-41.18403,146.35756,Entire home/apt,163,2,192,2024-03-05,3.20,3,63,37,PA2019.0156
710361659096262827,Standard two bedroom unit,27146791,Greg,,Central Highlands,-42.37695,147.00017,Private room,250,1,9,2023-12-30,0.52,9,304,5,"Exempt: This listing is a hotel, motel, or caravan park"
12686081,Halcyon Days - Pet Friendly,10221902,Matt,,Break O'Day,-41.33935,148.25641,Entire home/apt,227,2,120,2024-02-28,1.32,13,353,18,DA185-16
38139268,Best Western Murchison Lodge -Queen Room (Min 30N),285512792,Liam,,Waratah/Wynyard,-41.04065,145.83846,Hotel room,142,30,0,,,6,177,0,
4183991,Oakchester Cottage on Bruny Island,21708010,Edwin,,Kingborough,-43.11337,147.33327,Entire home/apt,250,2,133,2024-01-20,1.19,1,365,5,DA2019624
4700895,"""North Shelly Beach House""  Great Eastern Drive !",24300290,Tank,,Break O'Day,-41.42962,148.27393,Entire home/apt,180,2,86,2024-03-02,0.77,1,278,19,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
1100941369981464451,The Tides - Luxury Accommodation,16836695,Suite Space Co.,,Glamorgan/Spring Bay,-42.12286,148.29392,Entire home/apt,300,1,0,,,30,278,0,DA2018/00221
965095191282208498,"Midnight Moonshine Loft 1 bed, 1 bath: City Centre",7409213,L'Abode Accommodation Specialist,,Launceston,-41.43647894877551,147.13939765229162,Entire home/apt,178,2,43,2024-03-07,6.55,13,284,43,Exempt: This listing falls under the 'home sharing' exemption
51586440,"WYNYARD apartment. ""Eirini "" (gk)
meaning peace",21027741,Margaret,,Waratah/Wynyard,-40.98752,145.72936,Entire home/apt,130,2,2,2021-12-28,0.07,4,268,0,Exempt: This listing falls under the 'home sharing' exemption
3706335,Holiday Shack,18902260,Steve,,West Tamar,-41.08935,146.74476,Entire home/apt,120,2,11,2019-09-30,0.10,1,7,0,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
596859263715195955,Cataract Heights,79421199,Rebecca,,Launceston,-41.45476,147.12994,Private room,90,1,0,,,1,161,0,Exempt: This listing falls under the 'home sharing' exemption
639359515095863388,Dorset Hotel in Derby - Queen Room,461961514,Dave,,Dorset,-41.143757,147.798935,Private room,125,1,13,2024-01-25,0.72,4,357,7,"Exempt: This listing is a hotel, motel, or caravan park"
630703219991776523,Boat Harbour Grandeur - Luxury Beach House,180094447,John & Kylie,,Waratah/Wynyard,-40.93164,145.61792,Entire home/apt,327,2,6,2024-03-02,0.32,5,311,3,DA82/2019
681589635374123955,Park & Water view 3BR home,161654884,Rosie,,Clarence,-42.90318,147.43296,Entire home/apt,180,1,35,2024-02-21,2.33,1,173,28,PDPLANPMTP-2022/029876
38139442,Best Western Murchison Lodge - Queen Room,285512792,Liam,,Waratah/Wynyard,-41.04013,145.83728,Hotel room,160,1,24,2023-12-29,0.45,6,280,1,
942372761702208605,Cassie’s Cottage,103656004,Cassandra,,Clarence,-42.874479,147.3709743,Entire home/apt,203,2,30,2024-03-03,5.08,1,124,30,035652
12139477,The Ship Bay of Fires Tasmania Apt. 1,6798200,Brett,,Break O'Day,-41.26245590544896,148.28598267196656,Private room,242,1,0,,,3,82,0,Exempt: This listing falls under the 'home sharing' exemption
5480838,Peacock House  Close to Beaches 3,23433061,Margaret,,Burnie,-41.04417,145.87824,Private room,70,1,163,2024-01-17,1.49,5,343,15,Exempt: This listing falls under the 'home sharing' exemption
8122189,Ocean View Coastal Holiday House,42889593,Brendan,,Tasman,-43.00726,147.93039,Entire home/apt,200,2,199,2024-02-15,1.94,1,163,26,DA 2019/00128
736276471214671123,The Sawmiller’s Cottage - a rural escape,147344168,Pinned Property Management,,Dorset,-41.28547,147.71875,Entire home/apt,220,2,53,2024-02-26,3.45,24,320,38,2016/75
53942984,Located right at the entrance to Mt field NP,436979142,Casey,,Derwent Valley,-42.68435,146.72155,Entire home/apt,157,2,115,2024-02-16,4.35,1,305,41,Exempt: This listing falls under the 'home sharing' exemption
15850451,Graces View - Room with a View (near Cygnet),1879480,Freda,,Huon Valley,-43.13429,147.01437,Entire home/apt,140,2,173,2024-02-03,1.97,1,82,15,Exempt: This listing falls under the 'home sharing' exemption
1041666101078965500,South Launceston’s luxury stay,176442441,Bronte-Lee,,Launceston,-41.44847139031205,147.14683652677002,Entire home/apt,329,2,0,,,1,134,0,DA76889
19594952,Four Winds Bed & Breakfast,116302985,Louise & Stephen,,Northern Midlands,-42.03377,147.49842,Entire home/apt,162,1,382,2024-02-21,4.74,1,165,32,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
28587125,East Launceston with Views and Parking,5266238,Moxxi,,Launceston,-41.437301622442504,147.1490302567806,Entire home/apt,287,2,193,2024-03-03,2.98,113,153,27,
888786375481760422,Oakridge Holiday House,514205756,Nivedita,,Flinders,-39.8422875,147.8365746,Entire home/apt,170,4,3,2024-03-04,0.83,1,313,3,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
